Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3
gene-PA0489,host,gene-PA0489,85.0,192.0,150.0,119.0,188.0,67.0,49.0,68.0,61.0,45.0,68.0,92.0
gene-PA4523,host,gene-PA4523,,,,,2570.0,462.0,614.0,1087.0,737.0,1105.0,1325.0,595.0
gene-PA5154,host,gene-PA5154,77.0,230.0,164.0,73.0,118.0,140.0,35.0,89.0,277.0,37.0,73.0,119.0
gene-PA3833,host,gene-PA3833,477.0,701.0,559.0,311.0,813.0,510.0,251.0,415.0,446.0,302.0,439.0,461.0
gene-PA5012,host,waaF,1174.0,2262.0,1793.0,,,,,,1868.0,1528.0,2061.0,2222.0
gene-PA1804.1,host,gene-PA1804.1,,2803.0,,,,,,,,,,
gene-PA2504,host,gene-PA2504,435.0,1178.0,490.0,158.0,239.0,140.0,133.0,110.0,130.0,210.0,173.0,141.0
gene-PA0402,host,pyrB,,,2743.0,1787.0,3228.0,1380.0,981.0,1669.0,1134.0,1049.0,1428.0,1328.0
gene-PA1360,host,gene-PA1360,253.0,302.0,324.0,268.0,570.0,498.0,316.0,407.0,353.0,346.0,390.0,423.0
gene-PA0050,host,gene-PA0050,257.0,132.0,137.0,202.0,93.0,101.0,107.0,60.0,87.0,127.0,75.0,74.0
gene-PA1577,host,gene-PA1577,238.0,440.0,230.0,186.0,371.0,207.0,114.0,273.0,190.0,119.0,197.0,214.0
gene-PA3093,host,gene-PA3093,617.0,813.0,559.0,368.0,927.0,576.0,262.0,535.0,654.0,386.0,577.0,632.0
gene-PA2929,host,gene-PA2929,47.0,116.0,92.0,47.0,118.0,37.0,25.0,35.0,39.0,19.0,33.0,27.0
gene-PA2270,host,gene-PA2270,217.0,369.0,247.0,145.0,326.0,232.0,122.0,180.0,222.0,144.0,255.0,250.0
gene-PA1524,host,xdhA,237.0,513.0,487.0,155.0,228.0,132.0,118.0,218.0,800.0,184.0,411.0,290.0
gene-PA4442,host,cysN,863.0,1099.0,1102.0,717.0,2376.0,2189.0,884.0,1448.0,1485.0,1197.0,2012.0,1812.0
gene-PA2206,host,gene-PA2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gene-PA3015,host,gene-PA3015,294.0,480.0,318.0,244.0,493.0,322.0,174.0,337.0,283.0,178.0,290.0,283.0
gene-PA0431,host,gene-PA0431,,1465.0,1433.0,1799.0,2238.0,1384.0,,2476.0,1675.0,,,
gene-PA0609,host,trpE,1743.0,2616.0,1115.0,1678.0,3709.0,2490.0,1448.0,2176.0,1564.0,1183.0,1553.0,1489.0
gene-PA3033,host,gene-PA3033,282.0,556.0,382.0,239.0,467.0,247.0,144.0,248.0,275.0,157.0,244.0,202.0
gene-PA1021,host,gene-PA1021,93.0,231.0,93.0,62.0,174.0,89.0,24.0,82.0,61.0,31.0,63.0,64.0
gene-PA5455,host,gene-PA5455,641.0,1371.0,1144.0,574.0,1324.0,911.0,469.0,1017.0,1554.0,435.0,862.0,1361.0
gene-PA1659,host,gene-PA1659,866.0,297.0,192.0,707.0,536.0,318.0,747.0,424.0,99.0,342.0,305.0,112.0
gene-PA4503,host,gene-PA4503,1085.0,2945.0,,1157.0,2795.0,1548.0,505.0,1004.0,1700.0,530.0,819.0,
gene-PA0222,host,gene-PA0222,24.0,60.0,34.0,18.0,32.0,24.0,6.0,18.0,21.0,13.0,22.0,27.0
gene-PA2750,host,gene-PA2750,282.0,477.0,393.0,204.0,444.0,294.0,169.0,249.0,210.0,184.0,255.0,272.0
gene-PA0084,host,gene-PA0084,,811.0,2357.0,1266.0,874.0,1986.0,1277.0,942.0,,1350.0,1929.0,
gene-PA5311,host,gene-PA5311,208.0,573.0,303.0,271.0,542.0,157.0,72.0,260.0,167.0,101.0,178.0,171.0
gene-PA1154,host,gene-PA1154,93.0,179.0,103.0,71.0,106.0,107.0,49.0,74.0,85.0,61.0,63.0,44.0
gene-PA5303,host,gene-PA5303,,,,787.0,933.0,375.0,300.0,337.0,627.0,676.0,557.0,172.0
gene-PA1618,host,gene-PA1618,225.0,836.0,671.0,182.0,554.0,230.0,78.0,287.0,367.0,128.0,239.0,298.0
gene-PA0131,host,gene-PA0131,70.0,169.0,140.0,53.0,150.0,77.0,35.0,90.0,77.0,39.0,96.0,89.0
gene-PA3858,host,gene-PA3858,553.0,1023.0,839.0,276.0,494.0,421.0,211.0,306.0,478.0,266.0,381.0,314.0
gene-PA5178,host,gene-PA5178,,,,,,,1507.0,2062.0,1929.0,1601.0,2071.0,
gene-PA0809,host,gene-PA0809,229.0,285.0,347.0,113.0,158.0,224.0,98.0,96.0,223.0,101.0,110.0,283.0
gene-PA0657,host,gene-PA0657,784.0,2241.0,1151.0,456.0,884.0,487.0,326.0,673.0,753.0,416.0,744.0,628.0
gene-PA2770,host,gene-PA2770,567.0,583.0,723.0,565.0,1758.0,1306.0,654.0,1164.0,843.0,792.0,1130.0,1125.0
gene-PA4307,host,pctC,,1271.0,1328.0,604.0,1163.0,414.0,314.0,489.0,351.0,527.0,674.0,374.0
gene-PA3059,host,pelF,53.0,146.0,94.0,52.0,93.0,46.0,48.0,54.0,90.0,147.0,86.0,334.0
gene-PA2569,host,gene-PA2569,208.0,292.0,229.0,143.0,265.0,115.0,92.0,114.0,101.0,130.0,127.0,177.0
gene-PA3845,host,gene-PA3845,219.0,761.0,520.0,162.0,307.0,183.0,113.0,169.0,254.0,150.0,174.0,180.0
gene-PA3661,host,gene-PA3661,42.0,32.0,46.0,41.0,62.0,55.0,29.0,45.0,39.0,46.0,35.0,66.0
gene-PA2547,host,gene-PA2547,87.0,114.0,93.0,74.0,153.0,94.0,58.0,126.0,107.0,68.0,83.0,145.0
gene-PA4402,host,argJ,1402.0,1709.0,1309.0,1123.0,2266.0,1856.0,1066.0,1697.0,1273.0,1148.0,1513.0,1673.0
gene-PA4149,host,gene-PA4149,149.0,224.0,170.0,108.0,180.0,86.0,68.0,85.0,109.0,47.0,93.0,97.0
gene-PA3186,host,oprB,177.0,475.0,174.0,217.0,311.0,145.0,117.0,162.0,143.0,120.0,164.0,231.0
gene-PA1253,host,gene-PA1253,73.0,126.0,66.0,39.0,97.0,30.0,28.0,34.0,37.0,22.0,50.0,30.0
gene-PA0376,host,rpoH,,,,,,,,,,,,
gene-PA2150,host,gene-PA2150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0668,host,tyrZ,1798.0,2309.0,2237.0,,,,,,,,,
gene-PA4024,host,eutB,160.0,337.0,208.0,106.0,173.0,127.0,63.0,101.0,167.0,87.0,117.0,146.0
gene-PA1275,host,cobD,189.0,183.0,123.0,197.0,244.0,294.0,239.0,393.0,372.0,256.0,450.0,428.0
gene-PA3573,host,gene-PA3573,,,,735.0,1360.0,774.0,1022.0,767.0,530.0,,2114.0,618.0
gene-PA0433,host,gene-PA0433,94.0,113.0,80.0,93.0,110.0,123.0,61.0,138.0,122.0,53.0,64.0,150.0
gene-PA1042,host,gene-PA1042,179.0,308.0,152.0,139.0,474.0,269.0,111.0,252.0,220.0,163.0,208.0,224.0
gene-PA0481,host,gene-PA0481,69.0,100.0,101.0,53.0,178.0,124.0,42.0,110.0,69.0,61.0,82.0,72.0
gene-PA0351,host,gene-PA0351,422.0,747.0,617.0,302.0,859.0,644.0,292.0,440.0,470.0,334.0,523.0,474.0
gene-PA2967,host,fabG,,,,,,,,,,,,
gene-PA3587,host,metR,394.0,588.0,638.0,486.0,670.0,372.0,198.0,325.0,373.0,148.0,186.0,218.0
gene-PA5046,host,gene-PA5046,,,,,,,,,,,,
gene-PA0139,host,ahpC,,,,,,,,,,,,
gene-PA2869,host,gene-PA2869,157.0,445.0,302.0,172.0,263.0,159.0,136.0,251.0,935.0,144.0,202.0,155.0
gene-PA0791,host,gene-PA0791,129.0,266.0,221.0,67.0,134.0,103.0,52.0,77.0,124.0,68.0,94.0,96.0
gene-PA0478,host,gene-PA0478,177.0,360.0,256.0,68.0,221.0,86.0,84.0,130.0,156.0,80.0,128.0,92.0
gene-PA5065,host,ubiB,1402.0,1581.0,1095.0,1061.0,2323.0,1622.0,866.0,1379.0,1049.0,802.0,1175.0,1069.0
gene-PA4425,host,gene-PA4425,1186.0,1545.0,1544.0,1102.0,2679.0,1758.0,1076.0,1693.0,1420.0,1182.0,1567.0,1661.0
gene-PA0271,host,gene-PA0271,108.0,349.0,323.0,97.0,178.0,85.0,35.0,107.0,112.0,74.0,91.0,98.0
gene-PA0235,host,pcaK,38.0,60.0,26.0,24.0,27.0,22.0,24.0,18.0,29.0,14.0,18.0,25.0
gene-PA1409,host,aphA,86.0,132.0,53.0,44.0,133.0,57.0,38.0,51.0,53.0,50.0,68.0,30.0
gene-phiYY_sS6,phage,gene-phiYY_sS6,0.0,1.0,2.0,,,,1410.0,1498.0,,,2278.0,
gene-PA0287,host,gpuP,59.0,53.0,68.0,30.0,69.0,52.0,26.0,55.0,34.0,28.0,48.0,21.0
gene-PA3460,host,gene-PA3460,271.0,725.0,682.0,297.0,799.0,320.0,138.0,344.0,114.0,157.0,202.0,195.0
gene-PA5537,host,gene-PA5537,142.0,308.0,239.0,94.0,196.0,93.0,66.0,123.0,177.0,83.0,154.0,104.0
gene-PA2340,host,gene-PA2340,32.0,83.0,68.0,28.0,45.0,19.0,15.0,28.0,23.0,22.0,28.0,15.0
gene-PA5461,host,gene-PA5461,1210.0,,2736.0,677.0,2211.0,1531.0,487.0,1105.0,1565.0,1021.0,1472.0,1588.0
gene-PA1882,host,gene-PA1882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2879,host,gene-PA2879,138.0,535.0,453.0,99.0,228.0,109.0,59.0,133.0,209.0,76.0,157.0,146.0
gene-PA0784,host,gene-PA0784,620.0,1620.0,1314.0,383.0,762.0,495.0,261.0,480.0,732.0,373.0,506.0,451.0
gene-PA2323,host,gene-PA2323,803.0,1717.0,1939.0,449.0,335.0,214.0,388.0,304.0,406.0,644.0,997.0,814.0
gene-PA2762,host,gene-PA2762,56.0,130.0,58.0,64.0,164.0,96.0,193.0,360.0,310.0,58.0,223.0,300.0
gene-PA4796,host,gene-PA4796,322.0,493.0,440.0,217.0,310.0,182.0,114.0,227.0,263.0,164.0,192.0,146.0
gene-PA3756,host,gene-PA3756,550.0,1020.0,1268.0,553.0,1136.0,728.0,505.0,756.0,648.0,670.0,823.0,729.0
gene-PA4633,host,gene-PA4633,1424.0,,,815.0,1618.0,838.0,633.0,712.0,822.0,1104.0,1403.0,874.0
gene-PA4550,host,fimU,1002.0,1199.0,672.0,539.0,924.0,532.0,480.0,800.0,924.0,580.0,941.0,961.0
gene-PA4723,host,dksA,1535.0,1669.0,2121.0,,,,,,,,,
gene-PA2591,host,gene-PA2591,522.0,645.0,299.0,205.0,414.0,170.0,154.0,212.0,147.0,136.0,173.0,112.0
gene-PA0701,host,gene-PA0701,50.0,104.0,53.0,42.0,65.0,44.0,18.0,34.0,34.0,37.0,39.0,44.0
gene-PA0491,host,gene-PA0491,128.0,247.0,185.0,125.0,313.0,137.0,88.0,139.0,140.0,104.0,161.0,104.0
gene-PA2157,host,gene-PA2157,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3887,host,nhaP,406.0,515.0,494.0,471.0,1198.0,1177.0,446.0,687.0,1093.0,440.0,657.0,1224.0
gene-PA2746a,host,gene-PA2746a,352.0,1083.0,444.0,236.0,340.0,169.0,167.0,193.0,159.0,190.0,251.0,177.0
gene-PA4367,host,bifA,947.0,2216.0,2173.0,561.0,1036.0,602.0,365.0,744.0,868.0,432.0,827.0,648.0
gene-PA2670,host,gene-PA2670,67.0,103.0,68.0,40.0,104.0,39.0,46.0,58.0,46.0,35.0,38.0,55.0
gene-PA2252,host,gene-PA2252,229.0,572.0,558.0,210.0,647.0,1771.0,1381.0,1558.0,1733.0,1533.0,2095.0,
gene-PA2263,host,gene-PA2263,176.0,615.0,341.0,323.0,668.0,123.0,79.0,85.0,22.0,57.0,27.0,23.0
gene-PA4095,host,gene-PA4095,11.0,25.0,13.0,5.0,15.0,6.0,6.0,4.0,5.0,14.0,10.0,10.0
gene-PA2788,host,gene-PA2788,1802.0,,,1393.0,1593.0,1648.0,793.0,615.0,303.0,996.0,668.0,284.0
gene-PA3253,host,gene-PA3253,45.0,95.0,59.0,49.0,73.0,47.0,39.0,54.0,28.0,32.0,49.0,38.0
gene-PA1009,host,gene-PA1009,786.0,846.0,1183.0,839.0,2534.0,1653.0,791.0,1431.0,1224.0,889.0,1211.0,1481.0
gene-PA3479,host,rhlA,961.0,835.0,164.0,350.0,444.0,129.0,178.0,160.0,103.0,168.0,98.0,59.0
gene-PA2916,host,gene-PA2916,967.0,1241.0,568.0,534.0,572.0,340.0,271.0,206.0,156.0,304.0,147.0,86.0
gene-PA1544,host,anr,,,,,,,,,,,,
gene-PA5541,host,pyrQ,75.0,299.0,145.0,42.0,120.0,66.0,32.0,83.0,71.0,56.0,79.0,97.0
gene-PA5092,host,hutI,216.0,852.0,364.0,189.0,836.0,189.0,121.0,473.0,113.0,115.0,353.0,92.0
gene-PA4241,host,rpsM,,,,,,,,,,,,
gene-PA2283,host,gene-PA2283,216.0,237.0,107.0,256.0,320.0,357.0,589.0,362.0,327.0,378.0,366.0,1205.0
gene-PA3541,host,alg8,86.0,221.0,169.0,58.0,66.0,37.0,43.0,40.0,60.0,41.0,63.0,62.0
gene-PA4340,host,gene-PA4340,294.0,313.0,342.0,170.0,506.0,440.0,170.0,309.0,443.0,181.0,273.0,381.0
gene-PA3368.1,host,gene-PA3368.1,56.0,98.0,93.0,133.0,132.0,107.0,64.0,147.0,54.0,74.0,55.0,76.0
gene-PA4844,host,gene-PA4844,400.0,901.0,789.0,539.0,548.0,215.0,265.0,429.0,246.0,289.0,338.0,184.0
gene-PA4445,host,gene-PA4445,463.0,604.0,468.0,358.0,1026.0,856.0,346.0,629.0,504.0,451.0,541.0,668.0
gene-PA0128,host,gene-PA0128,722.0,751.0,1291.0,1200.0,2623.0,1654.0,586.0,1344.0,779.0,816.0,941.0,958.0
gene-PA0667,host,gene-PA0667,,,,,,,,,,,,
gene-PA1839,host,gene-PA1839,326.0,386.0,302.0,431.0,1157.0,909.0,456.0,871.0,350.0,549.0,646.0,644.0
gene-PA3759,host,gene-PA3759,60.0,162.0,102.0,30.0,111.0,127.0,27.0,68.0,136.0,31.0,64.0,130.0
gene-PA1256,host,gene-PA1256,45.0,85.0,37.0,18.0,40.0,12.0,13.0,23.0,21.0,22.0,30.0,8.0
gene-PA5456,host,gene-PA5456,296.0,817.0,539.0,301.0,765.0,482.0,236.0,541.0,595.0,210.0,477.0,788.0
gene-PA2058,host,gene-PA2058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA4429,host,gene-PA4429,,,,,,,,,,,,
gene-PA5379,host,sdaB,66.0,222.0,153.0,39.0,85.0,33.0,25.0,25.0,64.0,33.0,35.0,42.0
gene-PA2003,host,bdhA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1776,host,sigX,,,,,,,,,,,,
gene-PA1377,host,gene-PA1377,252.0,462.0,303.0,122.0,369.0,253.0,104.0,175.0,293.0,147.0,241.0,214.0
gene-PA2533,host,gene-PA2533,271.0,371.0,331.0,301.0,653.0,462.0,228.0,641.0,595.0,261.0,452.0,563.0
gene-PA2961,host,holB,678.0,958.0,599.0,822.0,1475.0,1469.0,936.0,1621.0,1315.0,769.0,1353.0,1380.0
gene-PA4257,host,rpsC,,,,,,,,,,,,
gene-PA5018,host,msrA,1153.0,1742.0,1726.0,751.0,1745.0,1014.0,551.0,960.0,999.0,675.0,1035.0,763.0
gene-PA4231,host,pchA,108.0,158.0,167.0,115.0,241.0,237.0,109.0,167.0,136.0,110.0,137.0,171.0
gene-PA2856,host,tesA,491.0,724.0,541.0,303.0,944.0,396.0,225.0,498.0,506.0,307.0,572.0,433.0
gene-PA4896,host,gene-PA4896,17.0,32.0,17.0,17.0,26.0,30.0,45.0,36.0,128.0,10.0,39.0,76.0
gene-PA0715,host,gene-PA0715,656.0,2316.0,2268.0,665.0,1625.0,972.0,353.0,1059.0,1059.0,505.0,630.0,658.0
gene-PA0346,host,gene-PA0346,61.0,127.0,106.0,24.0,100.0,43.0,33.0,66.0,53.0,45.0,89.0,101.0
gene-PA4491,host,gene-PA4491,,1968.0,2012.0,1448.0,1895.0,,,1434.0,,,2210.0,
gene-phiYY_sM4,phage,gene-phiYY_sM4,0.0,2.0,0.0,,,,1405.0,1610.0,,,,
gene-PA3702,host,wspR,572.0,830.0,834.0,592.0,858.0,802.0,480.0,855.0,481.0,417.0,662.0,557.0
gene-PA5199,host,amgS,678.0,1607.0,1070.0,918.0,2374.0,1105.0,489.0,1406.0,949.0,449.0,1005.0,916.0
gene-PA4278,host,gene-PA4278,404.0,911.0,579.0,388.0,1054.0,817.0,384.0,621.0,517.0,371.0,599.0,637.0
gene-PA3495,host,nth,252.0,225.0,252.0,239.0,290.0,332.0,256.0,460.0,262.0,279.0,388.0,297.0
gene-PA5445,host,gene-PA5445,339.0,1505.0,519.0,263.0,2934.0,,203.0,575.0,1414.0,232.0,374.0,415.0
gene-PA4564,host,gene-PA4564,964.0,1456.0,1057.0,791.0,1263.0,993.0,494.0,1090.0,745.0,805.0,914.0,772.0
gene-PA3938,host,gene-PA3938,179.0,133.0,77.0,119.0,106.0,80.0,104.0,68.0,53.0,123.0,85.0,84.0
gene-PA1286,host,gene-PA1286,30.0,57.0,54.0,25.0,53.0,77.0,13.0,31.0,52.0,36.0,29.0,70.0
gene-PA1216,host,gene-PA1216,32.0,62.0,41.0,25.0,58.0,24.0,20.0,20.0,36.0,18.0,35.0,23.0
gene-PA3663,host,gene-PA3663,830.0,2728.0,2035.0,477.0,895.0,624.0,328.0,474.0,563.0,457.0,564.0,498.0
gene-PA2023,host,galU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3871,host,gene-PA3871,187.0,383.0,435.0,100.0,368.0,230.0,183.0,207.0,235.0,778.0,227.0,97.0
gene-PA2015,host,liuA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1057,host,gene-PA1057,327.0,619.0,402.0,336.0,1038.0,966.0,390.0,945.0,551.0,304.0,698.0,753.0
gene-PA3133.4,host,gene-PA3133.4,584.0,1072.0,1807.0,1063.0,2225.0,2325.0,868.0,2238.0,970.0,1104.0,1355.0,1536.0
gene-PA4099,host,gene-PA4099,43.0,79.0,47.0,17.0,40.0,14.0,17.0,17.0,22.0,19.0,24.0,26.0
gene-PA2734,host,gene-PA2734,,,2368.0,,,,,,,,,
gene-PA3176,host,gltS,190.0,211.0,30.0,131.0,147.0,81.0,64.0,115.0,49.0,93.0,85.0,47.0
gene-PA4747,host,secG,,,,,,,,,,,,
gene-PA2579,host,kynA,379.0,1244.0,951.0,279.0,563.0,277.0,168.0,235.0,290.0,257.0,313.0,277.0
gene-PA2913,host,gene-PA2913,70.0,99.0,41.0,69.0,147.0,88.0,99.0,184.0,68.0,82.0,178.0,79.0
gene-PA2248,host,bkdA2,579.0,,2078.0,,2585.0,208.0,404.0,618.0,202.0,314.0,236.0,99.0
gene-PA3844,host,gene-PA3844,226.0,793.0,514.0,195.0,445.0,155.0,117.0,210.0,246.0,165.0,250.0,122.0
gene-PA3328,host,gene-PA3328,503.0,277.0,30.0,582.0,257.0,31.0,173.0,81.0,37.0,88.0,75.0,35.0
gene-PA0855,host,gene-PA0855,101.0,174.0,137.0,66.0,256.0,295.0,105.0,115.0,290.0,132.0,150.0,267.0
gene-PA4396,host,gene-PA4396,260.0,313.0,246.0,184.0,522.0,248.0,207.0,585.0,541.0,223.0,317.0,439.0
gene-PA3707,host,gene-PA3707,623.0,992.0,963.0,665.0,984.0,602.0,352.0,618.0,477.0,389.0,536.0,533.0
gene-PA2064,host,pcoB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3504,host,gene-PA3504,95.0,251.0,182.0,61.0,155.0,98.0,57.0,116.0,119.0,69.0,119.0,118.0
gene-PA3515,host,gene-PA3515,126.0,445.0,386.0,72.0,164.0,163.0,66.0,127.0,252.0,88.0,132.0,193.0
gene-PA2119,host,gene-PA2119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1500,host,gene-PA1500,22.0,69.0,48.0,19.0,41.0,38.0,11.0,26.0,24.0,20.0,30.0,22.0
gene-PA4019,host,gene-PA4019,668.0,956.0,923.0,528.0,1277.0,827.0,425.0,638.0,641.0,408.0,686.0,703.0
gene-PA1742,host,gene-PA1742,,,,749.0,1606.0,599.0,853.0,926.0,1812.0,1167.0,1896.0,850.0
gene-PA0669,host,gene-PA0669,287.0,384.0,361.0,200.0,328.0,264.0,170.0,206.0,247.0,177.0,239.0,267.0
gene-PA0317,host,gene-PA0317,,2506.0,2276.0,,,,,,2061.0,,,2397.0
gene-PA3179,host,gene-PA3179,805.0,1824.0,956.0,1295.0,4044.0,,,,,,,
gene-PA4665,host,prfA,1063.0,997.0,1114.0,1278.0,3639.0,,,,,1627.0,2010.0,2418.0
gene-PA2477,host,gene-PA2477,68.0,77.0,69.0,41.0,115.0,60.0,61.0,102.0,86.0,54.0,85.0,81.0
gene-PA2437,host,gene-PA2437,62.0,123.0,102.0,87.0,148.0,183.0,141.0,115.0,84.0,54.0,123.0,133.0
gene-PA4804,host,gene-PA4804,200.0,464.0,396.0,191.0,269.0,201.0,106.0,195.0,235.0,106.0,198.0,154.0
gene-PA0145,host,gene-PA0145,334.0,762.0,543.0,168.0,438.0,202.0,121.0,234.0,283.0,168.0,285.0,203.0
gene-PA0269,host,gene-PA0269,149.0,476.0,375.0,63.0,212.0,112.0,54.0,103.0,136.0,80.0,148.0,99.0
gene-PA0270,host,gene-PA0270,148.0,494.0,383.0,90.0,166.0,102.0,54.0,87.0,123.0,74.0,124.0,100.0
gene-PA2644,host,nuoI,,1714.0,1662.0,,2083.0,648.0,1503.0,1528.0,1448.0,1698.0,2061.0,1758.0
gene-PA2744.1,host,gene-PA2744.1,272.0,275.0,528.0,607.0,1277.0,905.0,432.0,804.0,610.0,458.0,598.0,819.0
gene-PA1463,host,gene-PA1463,1300.0,3004.0,,1222.0,2476.0,1597.0,1044.0,1986.0,1052.0,963.0,1461.0,992.0
gene-PA2114,host,gene-PA2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1951,host,gene-PA1951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gene-PA3920,host,gene-PA3920,359.0,1603.0,1971.0,472.0,1840.0,1005.0,339.0,1287.0,636.0,586.0,1093.0,401.0
gene-PA4343,host,gene-PA4343,73.0,148.0,116.0,48.0,109.0,32.0,34.0,57.0,51.0,43.0,52.0,55.0
gene-PA5171,host,arcA,,,,,,,,,,,,
gene-PA2857,host,gene-PA2857,222.0,487.0,313.0,228.0,644.0,265.0,205.0,331.0,294.0,187.0,347.0,283.0
gene-PA4484,host,gatB,,,,,,,,,,,,
gene-PA2804,host,gene-PA2804,20.0,64.0,26.0,14.0,56.0,22.0,14.0,30.0,24.0,16.0,31.0,23.0
gene-PA1192,host,gene-PA1192,841.0,918.0,731.0,1351.0,3276.0,1872.0,1318.0,1735.0,990.0,1321.0,1457.0,1675.0
gene-PA2763a,host,gene-PA2763a,70.0,103.0,40.0,128.0,141.0,25.0,39.0,73.0,30.0,44.0,50.0,45.0
gene-PA4026,host,gene-PA4026,602.0,1533.0,1062.0,237.0,651.0,305.0,203.0,281.0,454.0,227.0,474.0,320.0
gene-PA1519,host,gene-PA1519,75.0,146.0,112.0,40.0,70.0,32.0,34.0,41.0,63.0,42.0,63.0,49.0
gene-PA5321,host,dut,910.0,966.0,788.0,949.0,2340.0,1241.0,799.0,1536.0,989.0,759.0,1130.0,1201.0
gene-PA2213,host,gene-PA2213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0997,host,pqsB,12.0,36.0,20.0,12.0,21.0,14.0,15.0,10.0,13.0,8.0,17.0,13.0
gene-PA2400,host,pvdJ,423.0,789.0,716.0,223.0,407.0,256.0,146.0,206.0,269.0,198.0,309.0,212.0
gene-PA3304.1,host,gene-PA3304.1,115.0,152.0,135.0,114.0,81.0,35.0,20.0,71.0,38.0,39.0,45.0,36.0
gene-PA1816,host,dnaQ,809.0,1765.0,1065.0,979.0,2429.0,1484.0,729.0,1356.0,870.0,666.0,1072.0,1004.0
gene-PA4465,host,gene-PA4465,,,,,3920.0,2528.0,1430.0,,,1541.0,2371.0,2272.0
gene-PA0659,host,gene-PA0659,1305.0,1234.0,1176.0,905.0,1960.0,1477.0,846.0,1550.0,1779.0,945.0,1536.0,2044.0
gene-PA2472,host,gene-PA2472,43.0,47.0,20.0,33.0,31.0,13.0,6.0,18.0,14.0,13.0,18.0,13.0
gene-PA1927,host,metE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0814,host,gene-PA0814,77.0,111.0,115.0,54.0,66.0,78.0,41.0,34.0,51.0,34.0,48.0,69.0
gene-PA5217,host,gene-PA5217,133.0,306.0,144.0,358.0,1870.0,937.0,989.0,2297.0,2272.0,270.0,2100.0,
gene-PA1668,host,gene-PA1668,474.0,155.0,92.0,399.0,236.0,124.0,445.0,168.0,101.0,519.0,169.0,143.0
gene-PA2934,host,cif,39.0,115.0,94.0,34.0,85.0,57.0,35.0,39.0,44.0,26.0,32.0,43.0
gene-PA1030.1,host,gene-PA1030.1,69.0,142.0,119.0,96.0,46.0,29.0,41.0,43.0,41.0,64.0,45.0,37.0
gene-PA5349,host,gene-PA5349,756.0,2417.0,1566.0,612.0,1375.0,1010.0,480.0,912.0,1047.0,479.0,883.0,922.0
gene-PA4096,host,gene-PA4096,28.0,30.0,16.0,17.0,12.0,13.0,8.0,8.0,11.0,14.0,17.0,12.0
gene-PA1398,host,gene-PA1398,251.0,263.0,232.0,200.0,511.0,310.0,189.0,337.0,318.0,169.0,251.0,312.0
gene-PA2473,host,gene-PA2473,22.0,30.0,8.0,11.0,22.0,8.0,6.0,7.0,6.0,4.0,8.0,6.0
gene-PA3686,host,adk,1844.0,2262.0,,,,,,,,,,
gene-PA2086,host,gene-PA2086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1745,host,gene-PA1745,64.0,177.0,89.0,65.0,85.0,21.0,28.0,47.0,27.0,46.0,50.0,41.0
gene-PA0792,host,prpD,329.0,544.0,396.0,288.0,338.0,84.0,113.0,183.0,150.0,138.0,215.0,139.0
gene-PA1729,host,gene-PA1729,513.0,2303.0,1298.0,470.0,911.0,363.0,234.0,487.0,440.0,242.0,446.0,299.0
gene-PA3062,host,pelC,37.0,48.0,18.0,18.0,35.0,17.0,20.0,15.0,94.0,85.0,66.0,181.0
gene-PA4958,host,fimW,1486.0,,2385.0,1148.0,2721.0,1590.0,900.0,2210.0,1999.0,915.0,1753.0,1513.0
gene-PA5339,host,gene-PA5339,,1416.0,,1766.0,3181.0,,,,2248.0,,,2314.0
gene-PA5465,host,gene-PA5465,282.0,551.0,447.0,138.0,421.0,238.0,200.0,280.0,250.0,193.0,261.0,265.0
