Geneid,Entity,Symbol,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2
gene-PA0405,host,gene-PA0405,17.0,10.0,8.0,8.0,1.0,2.0
gene-PA4277,host,tufB,,,,,,
gene-PA2039,host,gene-PA2039,11.0,10.0,5.0,3.0,3.0,5.0
gene-PA4706,host,gene-PA4706,7.0,4.0,2.0,3.0,1.0,6.0
gene-PA1373,host,fabF2,9.0,12.0,1.0,6.0,1.0,6.0
gene-PA3872,host,narI,12.0,6.0,0.0,4.0,1.0,4.0
gene-PA3877,host,narK1,12.0,11.0,1.0,8.0,2.0,8.0
gene-PA3220,host,gene-PA3220,4.0,5.0,1.0,5.0,1.0,1.0
gene-PA2550,host,gene-PA2550,14.0,6.0,2.0,5.0,2.0,5.0
gene-PA3575,host,gene-PA3575,11.0,9.0,2.0,10.0,0.0,5.0
gene-PA3781,host,gene-PA3781,14.0,12.0,2.0,13.0,0.0,11.0
gene-PA3272,host,gene-PA3272,19.0,23.0,8.0,20.0,6.0,12.0
gene-PA1653,host,gene-PA1653,4.0,4.0,0.0,3.0,2.0,3.0
gene-PHIKZ144,phage,gene-PHIKZ144,5.0,3.0,,,,
gene-PA4449,host,hisG,22.0,24.0,7.0,10.0,1.0,6.0
gene-PA2593,host,qteE,2.0,4.0,2.0,1.0,0.0,0.0
gene-PA2941,host,gene-PA2941,2.0,10.0,1.0,7.0,0.0,3.0
gene-PA4820,host,gene-PA4820,6.0,6.0,0.0,1.0,0.0,2.0
gene-PA3283,host,gene-PA3283,9.0,5.0,2.0,3.0,2.0,4.0
gene-PA0993,host,cupC2,0.0,1.0,0.0,2.0,0.0,2.0
gene-PA4519,host,speC,30.0,15.0,8.0,16.0,5.0,12.0
gene-PA0723,host,coaB,10.0,5.0,2.0,3.0,0.0,4.0
gene-PA0948,host,gene-PA0948,6.0,3.0,2.0,0.0,0.0,3.0
gene-PA3664,host,gene-PA3664,8.0,12.0,4.0,4.0,0.0,5.0
gene-PA3708,host,wspA,24.0,27.0,10.0,14.0,3.0,14.0
gene-PA0506,host,gene-PA0506,26.0,27.0,10.0,13.0,6.0,19.0
gene-PA3541,host,alg8,9.0,5.0,5.0,14.0,1.0,6.0
gene-PHIKZ245,phage,gene-PHIKZ245,39.0,,,,,
gene-PA5379,host,sdaB,11.0,10.0,2.0,5.0,1.0,8.0
gene-PA5430,host,gene-PA5430,21.0,15.0,7.0,10.0,3.0,6.0
gene-PA5073,host,gene-PA5073,12.0,8.0,0.0,4.0,1.0,3.0
gene-PA5066,host,hisI,35.0,31.0,14.0,12.0,4.0,7.0
gene-PA1681,host,aroC,29.0,27.0,7.0,14.0,4.0,8.0
gene-PA4828,host,gene-PA4828,5.0,4.0,1.0,6.0,0.0,5.0
gene-PA1998,host,dhcR,10.0,6.0,0.0,5.0,0.0,3.0
gene-PA3932,host,gene-PA3932,9.0,8.0,2.0,16.0,0.0,8.0
gene-PA3303a,host,gene-PA3303a,0.0,0.0,0.0,2.0,0.0,0.0
gene-PA0338,host,gene-PA0338,21.0,15.0,5.0,17.0,1.0,8.0
gene-PA2935,host,gene-PA2935,2.0,2.0,0.0,8.0,1.0,0.0
gene-PA4437,host,gene-PA4437,8.0,12.0,2.0,8.0,,3.0
gene-PA4445,host,gene-PA4445,9.0,7.0,6.0,5.0,0.0,6.0
gene-PA3060,host,pelE,5.0,3.0,0.0,6.0,3.0,4.0
gene-PA0625,host,gene-PA0625,17.0,13.0,4.0,7.0,3.0,11.0
gene-PA5228,host,gene-PA5228,19.0,25.0,6.0,14.0,3.0,8.0
gene-PA0384,host,gene-PA0384,3.0,2.0,0.0,2.0,1.0,4.0
gene-PA1955,host,gene-PA1955,8.0,1.0,0.0,3.0,0.0,1.0
gene-PA0742,host,gene-PA0742,8.0,3.0,0.0,1.0,0.0,4.0
gene-PA2988,host,gene-PA2988,19.0,19.0,15.0,11.0,2.0,5.0
gene-PA4463,host,gene-PA4463,39.0,29.0,,14.0,7.0,8.0
gene-PA1929,host,gene-PA1929,1.0,3.0,1.0,0.0,1.0,2.0
gene-PA4221,host,fptA,27.0,14.0,11.0,20.0,2.0,20.0
gene-PA2737,host,gene-PA2737,27.0,19.0,7.0,7.0,6.0,5.0
gene-PA3819,host,gene-PA3819,38.0,21.0,,24.0,,6.0
gene-PA0575,host,gene-PA0575,40.0,28.0,9.0,23.0,4.0,
gene-PA4263,host,rplC,,,7.0,,,13.0
gene-PA1797,host,gene-PA1797,8.0,8.0,4.0,12.0,2.0,6.0
gene-PA2735,host,gene-PA2735,,,11.0,17.0,4.0,17.0
gene-PA3931,host,gene-PA3931,6.0,5.0,9.0,0.0,1.0,8.0
gene-PA5419,host,soxG,2.0,2.0,1.0,6.0,0.0,5.0
gene-PA1971,host,braZ,15.0,12.0,5.0,13.0,1.0,6.0
gene-PA3994,host,gene-PA3994,2.0,5.0,4.0,7.0,0.0,10.0
gene-PA4858,host,gene-PA4858,22.0,16.0,4.0,12.0,3.0,11.0
gene-PA1828,host,gene-PA1828,7.0,4.0,5.0,5.0,0.0,6.0
gene-PA2910,host,gene-PA2910,14.0,2.0,0.0,5.0,0.0,5.0
gene-PA3351,host,flgM,38.0,22.0,,22.0,,16.0
gene-PA0555,host,fda,,27.0,16.0,18.0,8.0,17.0
gene-PA4716,host,gene-PA4716,12.0,7.0,3.0,4.0,4.0,6.0
gene-PA0112,host,gene-PA0112,13.0,7.0,4.0,7.0,1.0,10.0
gene-PA1686,host,alkA,8.0,6.0,1.0,6.0,1.0,6.0
gene-PA1331,host,gene-PA1331,5.0,13.0,4.0,11.0,3.0,9.0
gene-PA4081,host,cupB6,19.0,14.0,5.0,8.0,2.0,11.0
gene-PA5027,host,gene-PA5027,9.0,9.0,4.0,7.0,4.0,7.0
gene-PA4209,host,phzM,9.0,8.0,1.0,6.0,0.0,7.0
gene-PA4526,host,pilB,32.0,24.0,6.0,13.0,0.0,8.0
gene-PA0371,host,gene-PA0371,22.0,23.0,5.0,17.0,6.0,10.0
gene-PA5203,host,gshA,23.0,25.0,6.0,13.0,2.0,13.0
gene-PA1259,host,gene-PA1259,16.0,13.0,2.0,10.0,3.0,9.0
gene-PA2135,host,gene-PA2135,10.0,7.0,1.0,4.0,2.0,7.0
gene-PA1584,host,sdhB,,,13.0,15.0,6.0,14.0
gene-PA4223,host,gene-PA4223,17.0,4.0,3.0,4.0,1.0,13.0
gene-PA0520,host,nirQ,12.0,18.0,1.0,7.0,1.0,4.0
gene-PA3231,host,gene-PA3231,2.0,2.0,0.0,0.0,0.0,0.0
gene-PA3191,host,gene-PA3191,9.0,7.0,2.0,4.0,2.0,6.0
gene-PA0931,host,pirA,16.0,11.0,4.0,9.0,4.0,13.0
gene-PA3678,host,gene-PA3678,8.0,2.0,0.0,5.0,0.0,5.0
gene-PA0463,host,creB,9.0,10.0,3.0,7.0,3.0,4.0
gene-PA4060,host,gene-PA4060,3.0,4.0,1.0,2.0,0.0,0.0
gene-PA0621,host,gene-PA0621,4.0,10.0,3.0,3.0,0.0,3.0
gene-PA1794,host,glnS,,34.0,14.0,23.0,9.0,21.0
gene-PA1168,host,gene-PA1168,0.0,3.0,1.0,3.0,0.0,3.0
gene-PA0251,host,gene-PA0251,7.0,9.0,3.0,3.0,1.0,6.0
gene-PA4950,host,gene-PA4950,20.0,8.0,8.0,7.0,,10.0
gene-PA0586,host,gene-PA0586,9.0,14.0,5.0,9.0,1.0,13.0
gene-PA3092,host,fadH1,18.0,13.0,2.0,8.0,3.0,8.0
gene-PA0837,host,slyD,,,13.0,14.0,5.0,7.0
gene-PA0916,host,gene-PA0916,29.0,13.0,9.0,14.0,8.0,5.0
gene-PA4969,host,cpdA,34.0,18.0,5.0,12.0,2.0,3.0
gene-PHIKZ251,phage,gene-PHIKZ251,41.0,,,,6.0,
gene-PHIKZ_p81,phage,gene-PHIKZ_p81,,,,,,
gene-PA3911,host,gene-PA3911,5.0,6.0,3.0,4.0,2.0,8.0
gene-PA1258,host,gene-PA1258,11.0,3.0,2.0,9.0,1.0,2.0
gene-PA5558,host,atpF,,,,,5.0,14.0
gene-PA5348,host,gene-PA5348,38.0,31.0,,19.0,10.0,18.0
gene-PA3363,host,amiR,5.0,6.0,2.0,8.0,1.0,2.0
gene-PA3818,host,gene-PA3818,38.0,,4.0,15.0,,7.0
gene-PA3050,host,pyrD,17.0,17.0,9.0,10.0,2.0,6.0
gene-PA2943,host,gene-PA2943,6.0,19.0,2.0,8.0,0.0,7.0
gene-PA2951,host,etfA,,33.0,9.0,18.0,,14.0
gene-PA2167,host,gene-PA2167,8.0,9.0,1.0,6.0,2.0,4.0
gene-PHIKZ023,phage,gene-PHIKZ023,,,,,,
gene-PHIKZ256,phage,gene-PHIKZ256,3.0,4.0,9.0,1.0,0.0,
gene-PA0118,host,gene-PA0118,7.0,13.0,4.0,6.0,1.0,4.0
gene-PA4803,host,gene-PA4803,13.0,9.0,2.0,5.0,0.0,7.0
gene-PA3574,host,nalD,11.0,7.0,5.0,1.0,0.0,4.0
gene-PA1063,host,gene-PA1063,0.0,6.0,0.0,1.0,1.0,0.0
gene-PA0403,host,pyrR,7.0,11.0,5.0,9.0,1.0,2.0
gene-PA1144,host,gene-PA1144,2.0,4.0,0.0,4.0,3.0,4.0
gene-PA5476,host,citA,15.0,10.0,9.0,10.0,1.0,13.0
gene-PA5526,host,gene-PA5526,8.0,9.0,10.0,8.0,4.0,9.0
gene-PA3652,host,uppS,21.0,22.0,6.0,9.0,0.0,3.0
gene-PA2676,host,gene-PA2676,1.0,5.0,1.0,3.0,1.0,3.0
gene-PA3095,host,xcpZ,3.0,1.0,0.0,0.0,1.0,3.0
gene-PA0437,host,codA,14.0,12.0,4.0,22.0,3.0,10.0
gene-PA0219,host,gene-PA0219,21.0,14.0,1.0,11.0,3.0,8.0
gene-PA0538,host,dsbB,6.0,5.0,1.0,4.0,2.0,5.0
gene-PA3367,host,gene-PA3367,4.0,5.0,0.0,2.0,0.0,7.0
gene-PA2637,host,nuoA,15.0,21.0,7.0,9.0,3.0,7.0
gene-PA5467,host,gene-PA5467,0.0,4.0,4.0,4.0,1.0,1.0
gene-PA0997,host,pqsB,4.0,5.0,7.0,3.0,1.0,1.0
gene-PA2947,host,gene-PA2947,3.0,4.0,1.0,4.0,0.0,4.0
gene-PA0729.1,host,gene-PA0729.1,,,,,,18.0
gene-PA4726.11,host,crcZ,,,,,,
gene-PA4501,host,opdP,10.0,12.0,6.0,12.0,3.0,16.0
gene-PA0885,host,gene-PA0885,4.0,6.0,1.0,3.0,0.0,1.0
gene-PA2632,host,gene-PA2632,4.0,6.0,1.0,1.0,0.0,6.0
gene-PA3349,host,gene-PA3349,39.0,26.0,16.0,17.0,,10.0
gene-PA1161,host,rrmA,7.0,5.0,1.0,5.0,0.0,5.0
gene-PA3837,host,gene-PA3837,9.0,7.0,2.0,5.0,1.0,6.0
gene-PA1416,host,gene-PA1416,6.0,3.0,2.0,4.0,1.0,6.0
gene-PA1534,host,recR,12.0,7.0,2.0,1.0,0.0,4.0
gene-PA3910,host,eddA,8.0,9.0,7.0,9.0,3.0,11.0
gene-PA3157,host,gene-PA3157,,35.0,10.0,9.0,2.0,9.0
gene-PA4549,host,fimT,6.0,5.0,1.0,5.0,1.0,9.0
gene-PA2024,host,gene-PA2024,8.0,3.0,0.0,2.0,0.0,0.0
gene-PA4531,host,gene-PA4531,2.0,3.0,0.0,1.0,0.0,1.0
gene-PA0332,host,gene-PA0332,2.0,4.0,6.0,5.0,4.0,0.0
gene-PA2853,host,oprI,,,,,,
gene-PA0197,host,tonB2,11.0,13.0,3.0,5.0,1.0,7.0
gene-PA5396,host,gene-PA5396,10.0,10.0,1.0,7.0,0.0,13.0
gene-PA2209,host,gene-PA2209,3.0,6.0,1.0,9.0,3.0,5.0
gene-PA3917,host,moaD,2.0,4.0,2.0,3.0,0.0,3.0
gene-PA2508,host,catC,1.0,6.0,0.0,2.0,1.0,3.0
gene-PA2980,host,gene-PA2980,5.0,5.0,1.0,3.0,1.0,1.0
gene-PA1620,host,gene-PA1620,8.0,3.0,0.0,3.0,0.0,2.0
gene-PA4232,host,ssb,26.0,18.0,13.0,10.0,2.0,7.0
gene-PA3439,host,folX,5.0,6.0,0.0,0.0,0.0,3.0
gene-PA0246,host,gene-PA0246,15.0,19.0,9.0,11.0,1.0,11.0
gene-PA0641,host,gene-PA0641,31.0,26.0,,9.0,7.0,14.0
gene-PA3133.2,host,gene-PA3133.2,,,,,,
gene-PA4356,host,xenB,6.0,12.0,3.0,5.0,1.0,5.0
gene-PA4013,host,gene-PA4013,11.0,8.0,2.0,5.0,0.0,5.0
gene-PA5069,host,tatB,11.0,7.0,3.0,2.0,2.0,3.0
gene-PA0937,host,gene-PA0937,15.0,10.0,5.0,6.0,2.0,3.0
gene-PA2108,host,gene-PA2108,7.0,5.0,2.0,2.0,2.0,3.0
gene-PA4515,host,gene-PA4515,15.0,8.0,0.0,2.0,1.0,7.0
gene-PA2335,host,gene-PA2335,14.0,17.0,2.0,11.0,4.0,5.0
gene-PA0187,host,gene-PA0187,18.0,10.0,0.0,7.0,2.0,4.0
gene-PA4443,host,cysD,7.0,22.0,6.0,6.0,2.0,7.0
gene-PA1203,host,gene-PA1203,3.0,6.0,1.0,6.0,1.0,2.0
gene-PA0375,host,ftsX,32.0,22.0,11.0,15.0,8.0,10.0
gene-PA1037,host,gene-PA1037,8.0,11.0,1.0,2.0,0.0,2.0
gene-PA4804,host,gene-PA4804,17.0,17.0,4.0,11.0,0.0,17.0
gene-PA2265,host,gene-PA2265,27.0,23.0,5.0,17.0,2.0,8.0
gene-PA3305.1,host,phrS,28.0,9.0,9.0,4.0,6.0,5.0
gene-PA1284,host,gene-PA1284,13.0,10.0,3.0,11.0,4.0,7.0
gene-PA3520,host,gene-PA3520,5.0,1.0,0.0,1.0,0.0,2.0
gene-PA5126,host,gene-PA5126,5.0,6.0,3.0,5.0,3.0,8.0
gene-PA5463,host,gene-PA5463,4.0,4.0,0.0,4.0,4.0,1.0
gene-PA3146,host,wbpK,12.0,7.0,1.0,1.0,2.0,8.0
gene-PA0440,host,gene-PA0440,13.0,11.0,5.0,12.0,0.0,4.0
gene-PA1482,host,ccmH,11.0,5.0,2.0,3.0,1.0,3.0
gene-PA0920,host,gene-PA0920,13.0,28.0,4.0,13.0,8.0,16.0
gene-PHIKZ100,phage,gene-PHIKZ100,8.0,7.0,,,,
gene-PA1000,host,pqsE,6.0,6.0,3.0,4.0,1.0,4.0
gene-PA5045,host,ponA,,,,19.0,9.0,23.0
gene-PA2147,host,katE,9.0,9.0,3.0,13.0,1.0,14.0
gene-PA0859,host,gene-PA0859,2.0,8.0,6.0,1.0,0.0,7.0
gene-PA2373,host,gene-PA2373,17.0,15.0,3.0,14.0,1.0,10.0
gene-PA3198,host,gene-PA3198,4.0,10.0,4.0,5.0,1.0,5.0
gene-PA4386,host,groES,,,14.0,,9.0,13.0
gene-PA4696,host,ilvI,,,16.0,6.0,8.0,11.0
gene-PA1610,host,fabA,,,15.0,6.0,5.0,6.0
gene-PA3650,host,dxr,28.0,26.0,12.0,17.0,2.0,5.0
gene-PA3091,host,gene-PA3091,32.0,16.0,6.0,10.0,0.0,2.0
gene-PA4597,host,oprJ,12.0,8.0,2.0,8.0,1.0,9.0
gene-PA0223,host,gene-PA0223,10.0,14.0,4.0,10.0,0.0,9.0
gene-PA1766,host,gene-PA1766,30.0,20.0,7.0,9.0,2.0,8.0
gene-PA1510,host,gene-PA1510,8.0,10.0,5.0,12.0,1.0,11.0
gene-PA3365,host,gene-PA3365,8.0,11.0,2.0,7.0,2.0,4.0
gene-PHIKZ193,phage,gene-PHIKZ193,,,,,,
gene-PA3793,host,gene-PA3793,8.0,4.0,3.0,4.0,1.0,1.0
gene-PA0295,host,gene-PA0295,18.0,16.0,7.0,13.0,2.0,14.0
gene-PA1555,host,ccoP2,17.0,12.0,6.0,10.0,4.0,7.0
gene-PA4901,host,mdlC,14.0,10.0,3.0,7.0,2.0,4.0
gene-PA2682,host,gene-PA2682,5.0,3.0,2.0,2.0,0.0,6.0
gene-PA4197,host,bfiS,18.0,14.0,4.0,7.0,1.0,
gene-PA4541,host,gene-PA4541,31.0,19.0,7.0,25.0,5.0,
gene-PA2100,host,gene-PA2100,20.0,15.0,1.0,9.0,1.0,8.0
gene-PA5196,host,gene-PA5196,6.0,6.0,5.0,3.0,1.0,4.0
gene-PA1690,host,pscU,6.0,8.0,2.0,5.0,0.0,2.0
gene-PA1123,host,gene-PA1123,4.0,4.0,0.0,1.0,0.0,3.0
gene-PA2591,host,gene-PA2591,14.0,15.0,2.0,6.0,5.0,3.0
gene-PA1512,host,hcpA,9.0,8.0,2.0,5.0,1.0,7.0
gene-PA2899,host,gene-PA2899,7.0,5.0,0.0,4.0,2.0,4.0
gene-PA2594,host,gene-PA2594,2.0,3.0,0.0,2.0,0.0,3.0
gene-PA2689,host,gene-PA2689,4.0,2.0,0.0,3.0,1.0,2.0
gene-PA4427,host,sspB,9.0,,5.0,5.0,1.0,3.0
gene-PA2384,host,gene-PA2384,3.0,2.0,0.0,1.0,0.0,0.0
gene-PA3907,host,gene-PA3907,6.0,9.0,2.0,8.0,0.0,5.0
gene-PA2698,host,gene-PA2698,4.0,2.0,0.0,4.0,1.0,4.0
gene-PA5143,host,hisB,25.0,23.0,,16.0,5.0,7.0
gene-PA1919,host,nrdG,3.0,3.0,1.0,2.0,0.0,5.0
gene-PA3561,host,fruK,11.0,19.0,0.0,10.0,4.0,0.0
gene-PA2772,host,gene-PA2772,4.0,6.0,2.0,2.0,3.0,0.0
gene-PA1341,host,gene-PA1341,8.0,3.0,1.0,6.0,0.0,5.0
gene-PA2631,host,gene-PA2631,4.0,8.0,2.0,4.0,1.0,0.0
gene-PA3408,host,hasR,14.0,27.0,4.0,14.0,2.0,16.0
gene-PA4238,host,rpoA,,,,,,
gene-PA4057,host,nrdR,15.0,15.0,6.0,6.0,5.0,2.0
gene-PHIKZ227,phage,gene-PHIKZ227,,,,,,
gene-PA4655,host,hemH,12.0,9.0,5.0,5.0,3.0,8.0
gene-PA1558,host,gene-PA1558,4.0,2.0,1.0,2.0,0.0,3.0
gene-PA2820,host,gene-PA2820,15.0,10.0,2.0,4.0,0.0,5.0
gene-PA1869,host,gene-PA1869,6.0,3.0,2.0,0.0,1.0,0.0
gene-PA0031,host,betC,17.0,18.0,2.0,12.0,2.0,15.0
gene-PA1876,host,gene-PA1876,18.0,15.0,5.0,15.0,2.0,5.0
gene-PA3388,host,gene-PA3388,8.0,9.0,2.0,0.0,3.0,6.0
gene-PA4076,host,gene-PA4076,3.0,4.0,5.0,5.0,1.0,
gene-PA0972,host,tolB,,35.0,16.0,18.0,6.0,15.0
gene-PA5238,host,gene-PA5238,16.0,12.0,7.0,9.0,4.0,14.0
gene-PA1374,host,gene-PA1374,1.0,3.0,0.0,1.0,0.0,3.0
gene-PA1278,host,cobP,18.0,4.0,2.0,2.0,0.0,3.0
gene-PA3329,host,gene-PA3329,15.0,8.0,2.0,12.0,0.0,9.0
gene-PA4079,host,gene-PA4079,12.0,3.0,6.0,9.0,2.0,4.0
gene-PA2801,host,gene-PA2801,3.0,2.0,0.0,4.0,0.0,0.0
gene-PA2206,host,gene-PA2206,11.0,4.0,2.0,5.0,1.0,3.0
gene-PA3127,host,gene-PA3127,7.0,5.0,2.0,4.0,1.0,2.0
gene-PHIKZ184,phage,gene-PHIKZ184,6.0,9.0,,,,
gene-PA3221,host,csaA,5.0,4.0,1.0,3.0,0.0,3.0
gene-PA0256,host,gene-PA0256,17.0,21.0,10.0,6.0,5.0,14.0
gene-PA4282,host,gene-PA4282,25.0,,,14.0,2.0,18.0
gene-PA2247,host,bkdA1,12.0,10.0,5.0,4.0,6.0,7.0
gene-PA1149,host,gene-PA1149,1.0,1.0,0.0,4.0,1.0,4.0
gene-PA5489,host,dsbA,17.0,17.0,10.0,21.0,7.0,9.0
gene-PA0205,host,gene-PA0205,20.0,14.0,2.0,11.0,3.0,14.0
gene-PA0019,host,def,,,,22.0,,21.0
gene-PA2790,host,gene-PA2790,6.0,3.0,0.0,1.0,0.0,2.0
gene-PA3399,host,gene-PA3399,5.0,2.0,1.0,4.0,0.0,3.0
gene-PA5544,host,gene-PA5544,27.0,16.0,4.0,16.0,4.0,
gene-PA1213,host,gene-PA1213,10.0,3.0,4.0,9.0,0.0,3.0
gene-PA1283,host,gene-PA1283,6.0,5.0,1.0,1.0,0.0,3.0
gene-PA0289,host,gpuR,18.0,13.0,3.0,5.0,3.0,11.0
gene-PHIKZ_p03,phage,gene-PHIKZ_p03,33.0,31.0,14.0,6.0,7.0,21.0
gene-PA3340,host,gene-PA3340,20.0,20.0,7.0,20.0,3.0,9.0
gene-PA2197,host,gene-PA2197,8.0,5.0,1.0,5.0,0.0,0.0
gene-PA4015,host,gene-PA4015,,13.0,6.0,12.0,2.0,4.0
gene-PA0048,host,gene-PA0048,2.0,2.0,0.0,2.0,0.0,1.0
gene-PA5456,host,gene-PA5456,20.0,25.0,5.0,13.0,2.0,11.0
gene-PA2084,host,gene-PA2084,10.0,5.0,0.0,4.0,3.0,7.0
gene-PA0824,host,gene-PA0824,5.0,3.0,1.0,4.0,0.0,2.0
gene-PA0363,host,coaD,29.0,22.0,12.0,12.0,5.0,6.0
gene-PA2283,host,gene-PA2283,7.0,4.0,0.0,5.0,1.0,8.0
gene-PA1765,host,gene-PA1765,3.0,5.0,2.0,4.0,0.0,5.0
gene-PA4461,host,gene-PA4461,24.0,11.0,11.0,13.0,3.0,13.0
gene-PA1927,host,metE,25.0,18.0,3.0,4.0,2.0,12.0
gene-PA5106,host,gene-PA5106,17.0,12.0,4.0,6.0,2.0,4.0
gene-PA3750,host,gene-PA3750,5.0,11.0,2.0,4.0,0.0,4.0
gene-PA3347,host,gene-PA3347,9.0,11.0,4.0,1.0,0.0,1.0
gene-PA4578,host,gene-PA4578,30.0,20.0,9.0,12.0,7.0,8.0
gene-PA2929,host,gene-PA2929,4.0,6.0,1.0,3.0,1.0,5.0
gene-PHIKZ283,phage,gene-PHIKZ283,,,,,,
gene-PA1277,host,cobQ,21.0,7.0,6.0,7.0,1.0,6.0
gene-PA0711,host,gene-PA0711,6.0,3.0,1.0,2.0,0.0,4.0
gene-PA3866,host,gene-PA3866,37.0,,,19.0,3.0,
gene-PA3804,host,gene-PA3804,30.0,32.0,3.0,12.0,4.0,5.0
gene-PA2523,host,gene-PA2523,3.0,5.0,1.0,3.0,0.0,3.0
gene-PA5411,host,gbcB,10.0,13.0,2.0,8.0,1.0,9.0
gene-PA1190,host,gene-PA1190,4.0,6.0,0.0,6.0,2.0,3.0
gene-PA4538,host,ndh,8.0,7.0,3.0,10.0,8.0,6.0
gene-PA0088,host,gene-PA0088,23.0,9.0,7.0,22.0,3.0,16.0
gene-PA0109,host,gene-PA0109,2.0,5.0,0.0,4.0,2.0,1.0
gene-PA1010,host,dapA,,34.0,15.0,17.0,4.0,5.0
gene-PA2081,host,kynB,10.0,9.0,2.0,4.0,3.0,2.0
gene-PA0482,host,glcB,27.0,32.0,4.0,17.0,8.0,16.0
gene-PA1736,host,gene-PA1736,5.0,7.0,3.0,3.0,4.0,2.0
gene-PA1678,host,gene-PA1678,11.0,11.0,1.0,8.0,2.0,5.0
gene-PA4552,host,pilW,12.0,10.0,4.0,9.0,1.0,7.0
gene-PA4144,host,gene-PA4144,5.0,7.0,3.0,3.0,1.0,5.0
gene-PA0828,host,gene-PA0828,6.0,4.0,0.0,,0.0,2.0
gene-PA3925,host,gene-PA3925,10.0,4.0,2.0,12.0,4.0,10.0
gene-PA0315,host,gene-PA0315,21.0,13.0,11.0,12.0,1.0,11.0
gene-PA0923,host,dinB,11.0,12.0,6.0,6.0,2.0,10.0
gene-PA3454,host,gene-PA3454,9.0,6.0,1.0,10.0,0.0,9.0
gene-PA2276,host,gene-PA2276,11.0,5.0,1.0,7.0,1.0,4.0
gene-PA1018,host,gene-PA1018,7.0,7.0,2.0,1.0,1.0,4.0
gene-PA1818,host,ldcA,18.0,6.0,8.0,4.0,7.0,12.0
gene-PA2216,host,gene-PA2216,7.0,1.0,1.0,3.0,0.0,1.0
gene-PA3989,host,holA,18.0,9.0,4.0,10.0,2.0,7.0
gene-PA0535,host,gene-PA0535,9.0,6.0,3.0,2.0,0.0,0.0
gene-PA1219,host,gene-PA1219,2.0,5.0,2.0,5.0,0.0,4.0
gene-PA1053,host,gene-PA1053,,,,,,12.0
gene-PA3297,host,gene-PA3297,,31.0,11.0,25.0,5.0,21.0
gene-PA3562,host,fruI,22.0,25.0,6.0,12.0,7.0,7.0
gene-PA3138,host,uvrB,22.0,16.0,3.0,12.0,2.0,10.0
gene-PA1322,host,gene-PA1322,22.0,14.0,3.0,12.0,5.0,17.0
gene-PA1506,host,gene-PA1506,1.0,4.0,1.0,1.0,0.0,0.0
gene-PA1940,host,gene-PA1940,15.0,8.0,2.0,9.0,0.0,1.0
gene-PA1019a,host,gene-PA1019a,2.0,2.0,0.0,2.0,0.0,1.0
gene-PA3859,host,gene-PA3859,10.0,6.0,2.0,3.0,2.0,4.0
gene-PA0433,host,gene-PA0433,8.0,5.0,3.0,5.0,0.0,4.0
gene-PA0075,host,pppA,5.0,9.0,3.0,4.0,0.0,7.0
gene-PA4634,host,gene-PA4634,5.0,7.0,0.0,2.0,4.0,8.0
gene-PA0345,host,gene-PA0345,14.0,12.0,6.0,11.0,3.0,7.0
gene-PA4007,host,proA,,,,19.0,9.0,10.0
gene-PHIKZ237,phage,gene-PHIKZ237,,,,,,
gene-PA5279,host,gene-PA5279,18.0,7.0,9.0,6.0,3.0,6.0
gene-PHIKZ271,phage,gene-PHIKZ271,,33.0,,,1.0,
gene-PA3169,host,gene-PA3169,24.0,9.0,13.0,4.0,6.0,9.0
gene-PA3919,host,gene-PA3919,20.0,20.0,5.0,6.0,4.0,5.0
gene-PA2261,host,gene-PA2261,5.0,4.0,2.0,3.0,0.0,4.0
gene-PA4354,host,gene-PA4354,4.0,9.0,1.0,2.0,0.0,2.0
gene-PA0835,host,pta,16.0,18.0,6.0,,7.0,15.0
gene-PA2347,host,gene-PA2347,3.0,3.0,2.0,5.0,2.0,6.0
gene-PA4726.2,host,gene-PA4726.2,,,,,,
gene-PA0762,host,algU,,,,,,
gene-PA1418,host,gene-PA1418,14.0,11.0,2.0,5.0,1.0,10.0
gene-PHIKZ015,phage,gene-PHIKZ015,,,,,,
gene-PA3447,host,gene-PA3447,1.0,4.0,1.0,3.0,0.0,4.0
gene-PA0508,host,gene-PA0508,20.0,9.0,4.0,9.0,4.0,19.0
gene-PA0685,host,gene-PA0685,15.0,9.0,2.0,8.0,5.0,23.0
gene-PA4047,host,ribA,12.0,14.0,6.0,2.0,2.0,5.0
gene-PA3320,host,gene-PA3320,2.0,8.0,1.0,3.0,0.0,4.0
gene-PA0842,host,gene-PA0842,9.0,7.0,1.0,4.0,1.0,8.0
gene-PA1174,host,napA,22.0,13.0,4.0,16.0,3.0,15.0
gene-PA1752,host,gene-PA1752,14.0,11.0,6.0,10.0,3.0,1.0
gene-PA4245,host,rpmD,,,,11.0,8.0,6.0
gene-PA4548,host,gene-PA4548,11.0,13.0,2.0,11.0,2.0,6.0
gene-PA3785,host,gene-PA3785,3.0,3.0,3.0,3.0,0.0,3.0
gene-PA2600,host,gene-PA2600,6.0,2.0,2.0,2.0,1.0,2.0
gene-PA0483,host,gene-PA0483,4.0,5.0,0.0,4.0,0.0,4.0
gene-PA3879,host,narL,10.0,5.0,1.0,5.0,0.0,8.0
gene-PA4359,host,gene-PA4359,4.0,9.0,6.0,7.0,1.0,4.0
gene-PA1399,host,gene-PA1399,5.0,6.0,2.0,5.0,0.0,4.0
